date,price
2021.04.12,2935
2021.04.09,2790
2021.04.08,2665
2021.04.07,3315
2021.04.06,3315
2021.04.05,3315
2021.04.02,3350
2021.04.01,3410
2021.03.31,3180
2021.03.30,3095
2021.03.29,3075
2021.03.26,3205
2021.03.25,3095
2021.03.24,3125
2021.03.23,3000
2021.03.22,3100
2021.03.19,3030
2021.03.18,3110
2021.03.17,3070
2021.03.16,3085
2021.03.15,3090
2021.03.12,3250
2021.03.11,3170
2021.03.10,2905
2021.03.09,2990
2021.03.08,3055
2021.03.05,3265
2021.03.04,3135
2021.03.03,3310
2021.03.02,3170
2021.02.26,3420
2021.02.25,3380
2021.02.24,3505
2021.02.23,3550
2021.02.22,3790
2021.02.19,3900
2021.02.18,3300
2021.02.17,2825
2021.02.16,2810
2021.02.15,2795
2021.02.10,2380
2021.02.09,2380
2021.02.08,2470
2021.02.05,2570
2021.02.04,2550
2021.02.03,2545
2021.02.02,2550
2021.02.01,2465
2021.01.29,2545
2021.01.28,2530
2021.01.27,2580
2021.01.26,2690
2021.01.25,2660
2021.01.22,2660
2021.01.21,2660
2021.01.20,2750
2021.01.19,2735
2021.01.18,2650
2021.01.15,2865
2021.01.14,2970
2021.01.13,2820
2021.01.12,2820
2021.01.11,2830
2021.01.08,2980
2021.01.07,3045
2021.01.06,3025
2021.01.05,3020
2021.01.04,3035
2020.12.30,3000
2020.12.29,3030
2020.12.28,2950
2020.12.24,2990
2020.12.23,2990
2020.12.22,2855
2020.12.21,2895
2020.12.18,2930
2020.12.17,2890
2020.12.16,2820
2020.12.15,2750
2020.12.14,2780
2020.12.11,2780
2020.12.10,2700
2020.12.09,2730
2020.12.08,2755
2020.12.07,2755
2020.12.04,2915
2020.12.03,2960
2020.12.02,2910
2020.12.01,2940
2020.11.30,2925
2020.11.27,3120
2020.11.26,3180
2020.11.25,3170
2020.11.24,3180
2020.11.23,3230
2020.11.20,3270
2020.11.19,3240
2020.11.18,3240
2020.11.17,3185
2020.11.16,3335
2020.11.13,3345
2020.11.12,3390
2020.11.11,3515
2020.11.10,3575
2020.11.09,3710
2020.11.06,3355
2020.11.05,3435
2020.11.04,3360
2020.11.03,3490
2020.11.02,3495
2020.10.30,3460
2020.10.29,3765
2020.10.28,3925
2020.10.27,3660
2020.10.26,3920
2020.10.23,3890
2020.10.22,3900
2020.10.21,4240
2020.10.20,4430
2020.10.19,4390
2020.10.16,4300
2020.10.15,4095
2020.10.14,4010
2020.10.13,3800
2020.10.12,3850
2020.10.08,3920
2020.10.07,3895
2020.10.06,3950
2020.10.05,3600
2020.09.29,3580
2020.09.28,3415
2020.09.25,3335
2020.09.24,3500
2020.09.23,3730
2020.09.22,3700
2020.09.21,3795
2020.09.18,4300
2020.09.17,4445
2020.09.16,4615
2020.09.15,4070
2020.09.14,3880
2020.09.11,3805
2020.09.10,3880
2020.09.09,3830
2020.09.08,3725
2020.09.07,3445
2020.09.04,3440
2020.09.03,3580
2020.09.02,3480
2020.09.01,3440
2020.08.31,3600
2020.08.28,3085
2020.08.27,3085
2020.08.26,3130
2020.08.25,3165
2020.08.24,3000
2020.08.21,3050
2020.08.20,2945
2020.08.19,3280
2020.08.18,3345
2020.08.14,3480
2020.08.13,3515
2020.08.12,3460
2020.08.11,3655
2020.08.10,3715
2020.08.07,3720
2020.08.06,3630
2020.08.05,3740
2020.08.04,3765
2020.08.03,3750
2020.07.31,3750
2020.07.30,3740
2020.07.29,3570
2020.07.28,3680
2020.07.27,3740
2020.07.24,3750
2020.07.23,3830
2020.07.22,3885
2020.07.21,3585
2020.07.20,3580
2020.07.17,3865
2020.07.16,3840
2020.07.15,3935
2020.07.14,3695
2020.07.13,3500
2020.07.10,3325
2020.07.09,3375
2020.07.08,3375
2020.07.07,2970
2020.07.06,3090
