date,price
2021.04.12,2105
2021.04.09,2115
2021.04.08,2120
2021.04.07,2120
2021.04.06,2110
2021.04.05,2115
2021.04.02,2110
2021.04.01,2110
2021.03.31,2100
2021.03.30,2105
2021.03.29,2110
2021.03.26,2100
2021.03.25,2110
2021.03.24,2095
2021.03.23,2105
2021.03.22,2110
2021.03.19,2115
2021.03.18,2115
2021.03.17,2115
2021.03.16,2110
2021.03.15,2105
2021.03.12,2100
2021.03.11,2085
2021.03.10,2090
2021.03.09,2095
2021.03.08,2100
2021.03.05,2095
2021.03.04,2100
2021.03.03,2110
2021.03.02,2115
2021.02.26,2120
2021.02.25,2120
2021.02.24,2110
2021.02.23,2135
2021.02.22,2150
2021.02.19,2150
2021.02.18,2150
2021.02.17,2150
2021.02.16,2145
2021.02.15,2145
2021.02.10,2160
2021.02.09,2200
2021.02.08,2175
2021.02.05,2150
2021.02.04,2150
2021.02.03,2120
2021.02.02,2130
2021.02.01,2125
2021.01.29,2140
2021.01.28,2135
2021.01.27,2125
2021.01.26,2190
2021.01.25,2235
2021.01.22,2330
2021.01.21,2285
2021.01.20,2400
2021.01.19,2435
2021.01.18,2325
2021.01.15,2250
2021.01.14,2380
2021.01.13,2475
2021.01.12,2720
2021.01.11,2395
2021.01.08,2350
2021.01.07,2220
2021.01.06,2175
2021.01.05,2170
2021.01.04,2150
2020.12.30,2120
2020.12.29,2100
2020.12.28,2100
2020.12.24,2200
2020.12.23,2100
2020.12.22,2100
2020.12.21,2085
2020.12.18,2075
2020.12.17,2080
2020.12.16,2075
2020.12.15,2095
2020.12.14,2070
2020.12.11,2060
2020.12.10,2065
2020.12.09,2065
2020.12.08,2070
2020.12.07,2070
2020.12.04,2070
2020.12.03,2070
2020.12.02,2065
2020.12.01,2065
2020.11.30,2045
2020.11.27,2050
2020.11.26,2035
2020.11.25,2035
2020.11.24,2040
2020.11.23,2030
2020.11.20,2030
2020.11.19,2030
2020.11.18,2030
2020.11.17,2030
2020.11.16,2030
2020.11.13,2030
2020.11.12,2030
2020.11.11,2030
2020.11.10,2035
2020.11.09,2035
2020.11.06,2030
2020.11.05,2025
2020.11.04,2025
2020.11.03,2025
2020.11.02,2040
2020.10.30,2015
2020.10.29,2025
2020.10.28,2025
2020.10.27,2025
2020.10.26,2035
2020.10.23,2035
2020.10.22,2025
2020.10.21,2035
2020.10.20,2020
2020.10.19,2030
2020.10.16,2035
2020.10.15,2035
2020.10.14,2030
2020.10.13,2020
2020.10.12,2020
2020.10.08,2025
2020.10.07,2020
2020.10.06,2025
2020.10.05,2020
2020.09.29,2025
2020.09.28,2020
2020.09.25,2020
2020.09.24,2020
2020.09.23,2030
2020.09.22,2020
2020.09.21,2020
2020.09.18,2060
2020.09.17,2060
2020.09.16,2060
2020.09.15,2060
2020.09.14,2060
2020.09.11,2060
2020.09.10,2060
2020.09.09,2060
2020.09.08,2060
2020.09.07,2060
2020.09.04,2060
2020.09.03,2060
2020.09.02,2060
2020.09.01,2060
2020.08.31,2060
2020.08.28,2060
2020.08.27,2060
2020.08.26,2060
2020.08.25,2060
2020.08.24,2060
2020.08.21,2060
2020.08.20,2060
2020.08.19,2060
2020.08.18,2060
2020.08.14,2060
2020.08.13,2060
2020.08.12,2060
2020.08.11,2060
2020.08.10,2060
2020.08.07,2060
2020.08.06,2060
2020.08.05,2060
2020.08.04,2060
2020.08.03,2060
2020.07.31,2060
2020.07.30,2060
2020.07.29,2060
2020.07.28,2060
2020.07.27,2060
2020.07.24,2060
2020.07.23,2060
2020.07.22,2060
2020.07.21,2060
2020.07.20,2060
2020.07.17,2060
2020.07.16,2060
2020.07.15,2060
2020.07.14,2060
2020.07.13,2060
2020.07.10,2060
2020.07.09,2060
2020.07.08,2060
2020.07.07,2060
2020.07.06,2060
