date,price
2021.04.12,7120
2021.04.09,7350
2021.04.08,7190
2021.04.07,6930
2021.04.06,7090
2021.04.05,7100
2021.04.02,7030
2021.04.01,7010
2021.03.31,7170
2021.03.30,7450
2021.03.29,7190
2021.03.26,7190
2021.03.25,8090
2021.03.24,8210
2021.03.23,8250
2021.03.22,8610
2021.03.19,9080
2021.03.18,9220
2021.03.17,9200
2021.03.16,9520
2021.03.15,9570
2021.03.12,9230
2021.03.11,8460
2021.03.10,8280
2021.03.09,8330
2021.03.08,8650
2021.03.05,9140
2021.03.04,9140
2021.03.03,8900
2021.03.02,9790
2021.02.26,8850
2021.02.25,8310
2021.02.24,7860
2021.02.23,8230
2021.02.22,8120
2021.02.19,7940
2021.02.18,8040
2021.02.17,7280
2021.02.16,7600
2021.02.15,7930
2021.02.10,7890
2021.02.09,7880
2021.02.08,7850
2021.02.05,6740
2021.02.04,6800
2021.02.03,6850
2021.02.02,7060
2021.02.01,6940
2021.01.29,6720
2021.01.28,7260
2021.01.27,7950
2021.01.26,7370
2021.01.25,7680
2021.01.22,7830
2021.01.21,8310
2021.01.20,8450
2021.01.19,8490
2021.01.18,8260
2021.01.15,8890
2021.01.14,9190
2021.01.13,9390
2021.01.12,9260
2021.01.11,9440
2021.01.08,10050
2021.01.07,10900
2021.01.06,11400
2021.01.05,10800
2021.01.04,9950
2020.12.30,10150
2020.12.29,10050
2020.12.28,9000
2020.12.24,9010
2020.12.23,9360
2020.12.22,10350
2020.12.21,9340
2020.12.18,8940
2020.12.17,8770
2020.12.16,9190
2020.12.15,9780
2020.12.14,9620
2020.12.11,9990
2020.12.10,10150
2020.12.09,10100
2020.12.08,10150
2020.12.07,10600
2020.12.04,11550
2020.12.03,9850
2020.12.02,10750
2020.12.01,11150
2020.11.30,12050
2020.11.27,11900
2020.11.26,11650
2020.11.25,11350
2020.11.24,11450
2020.11.23,12750
2020.11.20,12400
2020.11.19,12300
2020.11.18,13100
2020.11.17,10100
2020.11.16,8740
2020.11.13,8340
2020.11.12,7680
2020.11.11,8560
2020.11.10,7550
2020.11.09,7530
2020.11.06,7520
2020.11.05,7000
2020.11.04,7180
2020.11.03,7200
2020.11.02,6480
2020.10.30,6100
2020.10.29,6000
2020.10.28,6130
2020.10.27,5680
2020.10.26,5680
2020.10.23,5720
2020.10.22,5830
2020.10.21,5870
2020.10.20,5490
2020.10.19,5800
2020.10.16,5280
2020.10.15,5420
2020.10.14,5550
2020.10.13,5760
2020.10.12,5920
2020.10.08,5910
2020.10.07,6070
2020.10.06,5880
2020.10.05,5880
2020.09.29,5530
2020.09.28,6030
2020.09.25,4985
2020.09.24,4895
2020.09.23,5720
2020.09.22,6300
2020.09.21,6060
2020.09.18,6350
2020.09.17,5880
2020.09.16,5060
2020.09.15,5290
2020.09.14,5510
2020.09.11,5360
2020.09.10,5530
2020.09.09,5580
2020.09.08,5470
2020.09.07,4600
2020.09.04,4260
2020.09.03,4260
2020.09.02,4390
2020.09.01,4215
2020.08.31,4070
2020.08.28,4400
2020.08.27,4100
2020.08.26,4405
2020.08.25,4660
2020.08.24,4695
2020.08.21,3855
2020.08.20,4270
2020.08.19,4775
2020.08.18,4780
2020.08.14,4830
2020.08.13,5030
2020.08.12,5410
2020.08.11,5620
2020.08.10,5480
2020.08.07,5700
2020.08.06,6110
2020.08.05,6270
2020.08.04,6250
2020.08.03,6250
2020.07.31,6360
2020.07.30,6820
2020.07.29,6500
2020.07.28,6910
2020.07.27,7630
2020.07.24,8000
2020.07.23,8570
2020.07.22,8970
2020.07.21,9070
2020.07.20,9500
2020.07.17,9490
2020.07.16,9230
2020.07.15,9150
2020.07.14,8370
2020.07.13,6440
2020.07.10,6080
2020.07.09,7090
2020.07.08,7520
2020.07.07,9550
2020.07.06,13600
