date,price
2021.04.12,14650
2021.04.09,13450
2021.04.08,13400
2021.04.07,12900
2021.04.06,13100
2021.04.05,13100
2021.04.02,13500
2021.04.01,13450
2021.03.31,12950
2021.03.30,13000
2021.03.29,13050
2021.03.26,13100
2021.03.25,12900
2021.03.24,13050
2021.03.23,13200
2021.03.22,13200
2021.03.19,13600
2021.03.18,13900
2021.03.17,13650
2021.03.16,13050
2021.03.15,12900
2021.03.12,12650
2021.03.11,12500
2021.03.10,11700
2021.03.09,11800
2021.03.08,12250
2021.03.05,12450
2021.03.04,12200
2021.03.03,12700
2021.03.02,12800
2021.02.26,13150
2021.02.25,13900
2021.02.24,13650
2021.02.23,14350
2021.02.22,14700
2021.02.19,14000
2021.02.18,14500
2021.02.17,14650
2021.02.16,14650
2021.02.15,14200
2021.02.10,14000
2021.02.09,14050
2021.02.08,13950
2021.02.05,14250
2021.02.04,14550
2021.02.03,15000
2021.02.02,15100
2021.02.01,15100
2021.01.29,14900
2021.01.28,15050
2021.01.27,15450
2021.01.26,15750
2021.01.25,15850
2021.01.22,15850
2021.01.21,16150
2021.01.20,16200
2021.01.19,16200
2021.01.18,15700
2021.01.15,16200
2021.01.14,16000
2021.01.13,16400
2021.01.12,16000
2021.01.11,15750
2021.01.08,16350
2021.01.07,16750
2021.01.06,16650
2021.01.05,17100
2021.01.04,17100
2020.12.30,17000
2020.12.29,16400
2020.12.28,16000
2020.12.24,16550
2020.12.23,16800
2020.12.22,16500
2020.12.21,16950
2020.12.18,17400
2020.12.17,16150
2020.12.16,16000
2020.12.15,16100
2020.12.14,15900
2020.12.11,16050
2020.12.10,16150
2020.12.09,16000
2020.12.08,16250
2020.12.07,17800
2020.12.04,17100
2020.12.03,17450
2020.12.02,16600
2020.12.01,17150
2020.11.30,17600
2020.11.27,17650
2020.11.26,15600
2020.11.25,15400
2020.11.24,15650
2020.11.23,16100
2020.11.20,16400
2020.11.19,16200
2020.11.18,15950
2020.11.17,15300
2020.11.16,16050
2020.11.13,15650
2020.11.12,15950
2020.11.11,15950
2020.11.10,16750
2020.11.09,17150
2020.11.06,16450
2020.11.05,16200
2020.11.04,15750
2020.11.03,16000
2020.11.02,15700
2020.10.30,15800
2020.10.29,16350
2020.10.28,16250
2020.10.27,15950
2020.10.26,16300
2020.10.23,16900
2020.10.22,16750
2020.10.21,17000
2020.10.20,17000
2020.10.19,17100
2020.10.16,17650
2020.10.15,17550
2020.10.14,18000
2020.10.13,18200
2020.10.12,18000
2020.10.08,18500
2020.10.07,18650
2020.10.06,19150
2020.10.05,18050
2020.09.29,16550
2020.09.28,16400
2020.09.25,16300
2020.09.24,16550
2020.09.23,17000
2020.09.22,16950
2020.09.21,17600
2020.09.18,18400
2020.09.17,18150
2020.09.16,18700
2020.09.15,19450
2020.09.14,19050
2020.09.11,18500
2020.09.10,17850
2020.09.09,17750
2020.09.08,18300
2020.09.07,18550
2020.09.04,17900
2020.09.03,18400
2020.09.02,18100
2020.09.01,18350
2020.08.31,18300
2020.08.28,18800
2020.08.27,19200
2020.08.26,19100
2020.08.25,19700
2020.08.24,19500
2020.08.21,18650
2020.08.20,18350
2020.08.19,19850
2020.08.18,19650
2020.08.14,20600
2020.08.13,22000
2020.08.12,21800
2020.08.11,22350
2020.08.10,22250
2020.08.07,22000
2020.08.06,22500
2020.08.05,23050
2020.08.04,22500
2020.08.03,22200
2020.07.31,20800
2020.07.30,21100
2020.07.29,20450
2020.07.28,20650
2020.07.27,20600
2020.07.24,21000
2020.07.23,21150
2020.07.22,21100
2020.07.21,22550
2020.07.20,23300
2020.07.17,20900
2020.07.16,21350
2020.07.15,21950
2020.07.14,22500
2020.07.13,20400
2020.07.10,20400
2020.07.09,18200
2020.07.08,18500
2020.07.07,17700
2020.07.06,18050
