date,price
2021.04.12,6770
2021.04.09,6840
2021.04.08,6790
2021.04.07,6970
2021.04.06,7030
2021.04.05,6920
2021.04.02,6870
2021.04.01,6760
2021.03.31,6480
2021.03.30,6650
2021.03.29,6600
2021.03.26,6110
2021.03.25,6030
2021.03.24,5950
2021.03.23,6040
2021.03.22,6000
2021.03.19,6040
2021.03.18,6100
2021.03.17,6060
2021.03.16,6010
2021.03.15,6000
2021.03.12,5990
2021.03.11,5820
2021.03.10,5650
2021.03.09,5700
2021.03.08,5810
2021.03.05,5780
2021.03.04,5970
2021.03.03,6010
2021.03.02,5840
2021.02.26,5880
2021.02.25,6050
2021.02.24,6030
2021.02.23,6450
2021.02.22,6580
2021.02.19,6640
2021.02.18,6640
2021.02.17,6690
2021.02.16,6720
2021.02.15,6700
2021.02.10,6630
2021.02.09,6620
2021.02.08,6510
2021.02.05,6580
2021.02.04,6710
2021.02.03,6800
2021.02.02,6930
2021.02.01,6910
2021.01.29,6960
2021.01.28,7480
2021.01.27,7650
2021.01.26,7460
2021.01.25,7490
2021.01.22,7520
2021.01.21,7600
2021.01.20,7360
2021.01.19,7470
2021.01.18,7570
2021.01.15,7810
2021.01.14,7800
2021.01.13,7080
2021.01.12,7100
2021.01.11,6800
2021.01.08,6890
2021.01.07,6850
2021.01.06,6990
2021.01.05,6750
2021.01.04,6610
2020.12.30,6120
2020.12.29,6070
2020.12.28,6120
2020.12.24,6250
2020.12.23,6190
2020.12.22,5760
2020.12.21,5980
2020.12.18,5840
2020.12.17,5630
2020.12.16,5640
2020.12.15,5630
2020.12.14,5640
2020.12.11,5790
2020.12.10,5770
2020.12.09,5740
2020.12.08,5690
2020.12.07,5700
2020.12.04,5750
2020.12.03,5650
2020.12.02,5730
2020.12.01,5690
2020.11.30,5800
2020.11.27,5860
2020.11.26,5970
2020.11.25,5740
2020.11.24,5790
2020.11.23,5700
2020.11.20,5830
2020.11.19,5850
2020.11.18,5410
2020.11.17,5380
2020.11.16,5320
2020.11.13,5340
2020.11.12,5350
2020.11.11,5330
2020.11.10,5360
2020.11.09,5350
2020.11.06,5270
2020.11.05,5300
2020.11.04,5260
2020.11.03,5110
2020.11.02,4960
2020.10.30,4910
2020.10.29,5040
2020.10.28,5090
2020.10.27,5000
2020.10.26,4945
2020.10.23,5090
2020.10.22,5120
2020.10.21,5200
2020.10.20,5200
2020.10.19,5190
2020.10.16,5310
2020.10.15,5220
2020.10.14,5350
2020.10.13,5490
2020.10.12,5440
2020.10.08,5510
2020.10.07,5440
2020.10.06,5250
2020.10.05,5430
2020.09.29,5300
2020.09.28,5270
2020.09.25,5040
2020.09.24,4915
2020.09.23,4995
2020.09.22,4800
2020.09.21,5060
2020.09.18,5080
2020.09.17,5050
2020.09.16,5090
2020.09.15,4930
2020.09.14,4870
2020.09.11,4780
2020.09.10,4855
2020.09.09,4830
2020.09.08,4830
2020.09.07,4830
2020.09.04,4860
2020.09.03,4905
2020.09.02,4860
2020.09.01,4850
2020.08.31,4905
2020.08.28,4900
2020.08.27,4710
2020.08.26,4740
2020.08.25,4730
2020.08.24,4665
2020.08.21,4655
2020.08.20,4455
2020.08.19,4595
2020.08.18,4600
2020.08.14,4905
2020.08.13,4900
2020.08.12,4840
2020.08.11,4830
2020.08.10,4825
2020.08.07,4830
2020.08.06,4835
2020.08.05,4875
2020.08.04,4875
2020.08.03,4815
2020.07.31,4760
2020.07.30,4870
2020.07.29,4900
2020.07.28,4845
2020.07.27,4915
2020.07.24,4925
2020.07.23,4995
2020.07.22,4985
2020.07.21,5010
2020.07.20,5020
2020.07.17,4800
2020.07.16,4800
2020.07.15,4795
2020.07.14,4820
2020.07.13,4830
2020.07.10,4685
2020.07.09,4700
2020.07.08,4670
2020.07.07,4535
2020.07.06,4670
