date,price
2021.04.12,6430
2021.04.09,6400
2021.04.08,6360
2021.04.07,6430
2021.04.06,6480
2021.04.05,6500
2021.04.02,6510
2021.04.01,6400
2021.03.31,6370
2021.03.30,6370
2021.03.29,6260
2021.03.26,6290
2021.03.25,6320
2021.03.24,6170
2021.03.23,6270
2021.03.22,6400
2021.03.19,6340
2021.03.18,6130
2021.03.17,6130
2021.03.16,6100
2021.03.15,5960
2021.03.12,5790
2021.03.11,5630
2021.03.10,5630
2021.03.09,5730
2021.03.08,5880
2021.03.05,5940
2021.03.04,6100
2021.03.03,6000
2021.03.02,5930
2021.02.26,5860
2021.02.25,5860
2021.02.24,5830
2021.02.23,5930
2021.02.22,6120
2021.02.19,6040
2021.02.18,6180
2021.02.17,6190
2021.02.16,6200
2021.02.15,6220
2021.02.10,6180
2021.02.09,6200
2021.02.08,6460
2021.02.05,6620
2021.02.04,6690
2021.02.03,6450
2021.02.02,6300
2021.02.01,6280
2021.01.29,6020
2021.01.28,6250
2021.01.27,6340
2021.01.26,6420
2021.01.25,6440
2021.01.22,6430
2021.01.21,6370
2021.01.20,6480
2021.01.19,6420
2021.01.18,6350
2021.01.15,6420
2021.01.14,6450
2021.01.13,6330
2021.01.12,6280
2021.01.11,6210
2021.01.08,6500
2021.01.07,6460
2021.01.06,6490
2021.01.05,6520
2021.01.04,6520
2020.12.30,6240
2020.12.29,5960
2020.12.28,6000
2020.12.24,5690
2020.12.23,5640
2020.12.22,5700
2020.12.21,5920
2020.12.18,5750
2020.12.17,5670
2020.12.16,5700
2020.12.15,5600
2020.12.14,5660
2020.12.11,5720
2020.12.10,5630
2020.12.09,5670
2020.12.08,5610
2020.12.07,5600
2020.12.04,5700
2020.12.03,5760
2020.12.02,5700
2020.12.01,5520
2020.11.30,5500
2020.11.27,5590
2020.11.26,5510
2020.11.25,5460
2020.11.24,5590
2020.11.23,5590
2020.11.20,5590
2020.11.19,5650
2020.11.18,5430
2020.11.17,5410
2020.11.16,5420
2020.11.13,5400
2020.11.12,5410
2020.11.11,5430
2020.11.10,5450
2020.11.09,5400
2020.11.06,5380
2020.11.05,5420
2020.11.04,5400
2020.11.03,5410
2020.11.02,5350
2020.10.30,5350
2020.10.29,5400
2020.10.28,5550
2020.10.27,5290
2020.10.26,5330
2020.10.23,5420
2020.10.22,5360
2020.10.21,5350
2020.10.20,5370
2020.10.19,5360
2020.10.16,5230
2020.10.15,5410
2020.10.14,5390
2020.10.13,5380
2020.10.12,5300
2020.10.08,5360
2020.10.07,5430
2020.10.06,5530
2020.10.05,5480
2020.09.29,5400
2020.09.28,5380
2020.09.25,5360
2020.09.24,5350
2020.09.23,5400
2020.09.22,5400
2020.09.21,5440
2020.09.18,5540
2020.09.17,5590
2020.09.16,5610
2020.09.15,5630
2020.09.14,5680
2020.09.11,5570
2020.09.10,5500
2020.09.09,5450
2020.09.08,5480
2020.09.07,5470
2020.09.04,5460
2020.09.03,5490
2020.09.02,5500
2020.09.01,5400
2020.08.31,5320
2020.08.28,5350
2020.08.27,5240
2020.08.26,5250
2020.08.25,5240
2020.08.24,5190
2020.08.21,5250
2020.08.20,5100
2020.08.19,5310
2020.08.18,5250
2020.08.14,5500
2020.08.13,5520
2020.08.12,5500
2020.08.11,5450
2020.08.10,5470
2020.08.07,5430
2020.08.06,5450
2020.08.05,5500
2020.08.04,5550
2020.08.03,5520
2020.07.31,5530
2020.07.30,5430
2020.07.29,5410
2020.07.28,5440
2020.07.27,5490
2020.07.24,5480
2020.07.23,5570
2020.07.22,5470
2020.07.21,5500
2020.07.20,5570
2020.07.17,5680
2020.07.16,5630
2020.07.15,5570
2020.07.14,5520
2020.07.13,5540
2020.07.10,5520
2020.07.09,5640
2020.07.08,5550
2020.07.07,5570
2020.07.06,5590
