date,price
2021.04.12,40800
2021.04.09,39700
2021.04.08,40250
2021.04.07,40850
2021.04.06,37950
2021.04.05,37350
2021.04.02,38000
2021.04.01,37150
2021.03.31,36950
2021.03.30,36700
2021.03.29,36950
2021.03.26,35850
2021.03.25,36450
2021.03.24,36800
2021.03.23,36900
2021.03.22,37450
2021.03.19,37300
2021.03.18,37600
2021.03.17,36900
2021.03.16,36450
2021.03.15,35350
2021.03.12,35400
2021.03.11,34900
2021.03.10,34650
2021.03.09,34050
2021.03.08,34500
2021.03.05,35850
2021.03.04,36600
2021.03.03,36900
2021.03.02,36500
2021.02.26,36200
2021.02.25,37450
2021.02.24,37000
2021.02.23,38200
2021.02.22,37100
2021.02.19,38400
2021.02.18,39600
2021.02.17,40000
2021.02.16,39800
2021.02.15,41500
2021.02.10,41800
2021.02.09,40450
2021.02.08,40150
2021.02.05,41050
2021.02.04,39950
2021.02.03,40500
2021.02.02,40250
2021.02.01,40450
2021.01.29,39000
2021.01.28,40850
2021.01.27,42050
2021.01.26,42950
2021.01.25,43950
2021.01.22,41850
2021.01.21,42150
2021.01.20,43100
2021.01.19,41900
2021.01.18,38000
2021.01.15,37700
2021.01.14,38550
2021.01.13,38450
2021.01.12,36850
2021.01.11,36150
2021.01.08,36850
2021.01.07,38300
2021.01.06,37850
2021.01.05,40000
2021.01.04,39700
2020.12.30,36800
2020.12.29,33550
2020.12.28,32450
2020.12.24,33300
2020.12.23,32650
2020.12.22,32800
2020.12.21,32650
2020.12.18,33850
2020.12.17,34600
2020.12.16,34100
2020.12.15,34350
2020.12.14,35100
2020.12.11,35650
2020.12.10,35100
2020.12.09,33450
2020.12.08,34100
2020.12.07,33800
2020.12.04,33000
2020.12.03,33400
2020.12.02,32600
2020.12.01,32800
2020.11.30,31950
2020.11.27,32600
2020.11.26,32950
2020.11.25,33000
2020.11.24,33800
2020.11.23,33000
2020.11.20,33600
2020.11.19,33100
2020.11.18,33000
2020.11.17,31900
2020.11.16,32650
2020.11.13,33700
2020.11.12,31850
2020.11.11,31000
2020.11.10,31950
2020.11.09,33350
2020.11.06,34000
2020.11.05,33500
2020.11.04,32850
2020.11.03,32400
2020.11.02,32050
2020.10.30,29700
2020.10.29,30200
2020.10.28,30200
2020.10.27,29400
2020.10.26,28850
2020.10.23,32050
2020.10.22,32900
2020.10.21,32900
2020.10.20,33400
2020.10.19,33250
2020.10.16,34450
2020.10.15,35500
2020.10.14,36300
2020.10.13,35600
2020.10.12,34800
2020.10.08,34100
2020.10.07,34750
2020.10.06,35900
2020.10.05,36000
2020.09.29,35850
2020.09.28,36400
2020.09.25,36400
2020.09.24,35200
2020.09.23,37200
2020.09.22,36700
2020.09.21,37950
2020.09.18,40200
2020.09.17,40300
2020.09.16,41800
2020.09.15,41750
2020.09.14,42800
2020.09.11,43800
2020.09.10,43400
2020.09.09,41000
2020.09.08,42300
2020.09.07,41650
2020.09.04,41250
2020.09.03,40650
2020.09.02,41050
2020.09.01,40650
2020.08.31,41750
2020.08.28,40850
2020.08.27,42800
2020.08.26,40550
2020.08.25,41600
2020.08.24,36050
2020.08.21,35750
2020.08.20,36150
2020.08.19,35300
2020.08.18,34700
2020.08.14,35150
2020.08.13,36050
2020.08.12,36150
2020.08.11,37100
2020.08.10,37100
2020.08.07,36250
2020.08.06,36500
2020.08.05,37500
2020.08.04,37600
2020.08.03,38150
2020.07.31,36500
2020.07.30,36550
2020.07.29,36150
2020.07.28,35500
2020.07.27,34700
2020.07.24,33800
2020.07.23,33400
2020.07.22,33500
2020.07.21,32950
2020.07.20,33400
2020.07.17,35700
2020.07.16,32750
2020.07.15,32850
2020.07.14,33600
2020.07.13,33600
2020.07.10,34100
2020.07.09,35000
2020.07.08,33450
2020.07.07,32500
2020.07.06,32000
