date,price
2021.04.12,3460
2021.04.09,3260
2021.04.08,3130
2021.04.07,3090
2021.04.06,3065
2021.04.05,3120
2021.04.02,3190
2021.04.01,3180
2021.03.31,3205
2021.03.30,3300
2021.03.29,3315
2021.03.26,3360
2021.03.25,3360
2021.03.24,3515
2021.03.23,3540
2021.03.22,3615
2021.03.19,3665
2021.03.18,3955
2021.03.17,3770
2021.03.16,3420
2021.03.15,3565
2021.03.12,3215
2021.03.11,3060
2021.03.10,3250
2021.03.09,3485
2021.03.08,3570
2021.03.05,3475
2021.03.04,3425
2021.03.03,3440
2021.03.02,3415
2021.02.26,3480
2021.02.25,3320
2021.02.24,3220
2021.02.23,3290
2021.02.22,3405
2021.02.19,3425
2021.02.18,3520
2021.02.17,3620
2021.02.16,3615
2021.02.15,3635
2021.02.10,3555
2021.02.09,3515
2021.02.08,3505
2021.02.05,3660
2021.02.04,3755
2021.02.03,3880
2021.02.02,3870
2021.02.01,3780
2021.01.29,3750
2021.01.28,3840
2021.01.27,3955
2021.01.26,4010
2021.01.25,4010
2021.01.22,4040
2021.01.21,4220
2021.01.20,3855
2021.01.19,3855
2021.01.18,3775
2021.01.15,3835
2021.01.14,3895
2021.01.13,4015
2021.01.12,4000
2021.01.11,4070
2021.01.08,4140
2021.01.07,4320
2021.01.06,4470
2021.01.05,4610
2021.01.04,4715
2020.12.30,4525
2020.12.29,4630
2020.12.28,4410
2020.12.24,4520
2020.12.23,4425
2020.12.22,4465
2020.12.21,4640
2020.12.18,4625
2020.12.17,4950
2020.12.16,5010
2020.12.15,5110
2020.12.14,5070
2020.12.11,4980
2020.12.10,4995
2020.12.09,5080
2020.12.08,5240
2020.12.07,5680
2020.12.04,5450
2020.12.03,5570
2020.12.02,5460
2020.12.01,5350
2020.11.30,5340
2020.11.27,5310
2020.11.26,5210
2020.11.25,5430
2020.11.24,5710
2020.11.23,5780
2020.11.20,5810
2020.11.19,5830
2020.11.18,5990
2020.11.17,5220
2020.11.16,4910
2020.11.13,4970
2020.11.12,5400
2020.11.11,5010
2020.11.10,4490
2020.11.09,4660
2020.11.06,4650
2020.11.05,4450
2020.11.04,4270
2020.11.03,4620
2020.11.02,3555
2020.10.30,3430
2020.10.29,3395
2020.10.28,3360
2020.10.27,3350
2020.10.26,3190
2020.10.23,3050
2020.10.22,3220
2020.10.21,3500
2020.10.20,3715
2020.10.19,3970
2020.10.16,3410
2020.10.15,3105
2020.10.14,3200
2020.10.13,3235
2020.10.12,3310
2020.10.08,3220
2020.10.07,3085
2020.10.06,3070
2020.10.05,3010
2020.09.29,2955
2020.09.28,2980
2020.09.25,2995
2020.09.24,2835
2020.09.23,3110
2020.09.22,2970
2020.09.21,3110
2020.09.18,3225
2020.09.17,3420
2020.09.16,3530
2020.09.15,3500
2020.09.14,3480
2020.09.11,3435
2020.09.10,3490
2020.09.09,3480
2020.09.08,3710
2020.09.07,3690
2020.09.04,3505
2020.09.03,3625
2020.09.02,3515
2020.09.01,3440
2020.08.31,3400
2020.08.28,3510
2020.08.27,3685
2020.08.26,4060
2020.08.25,4050
2020.08.24,3325
2020.08.21,2560
2020.08.20,2380
2020.08.19,2335
2020.08.18,2245
2020.08.14,2530
2020.08.13,2530
2020.08.12,2335
2020.08.11,2440
2020.08.10,2535
2020.08.07,2455
2020.08.06,2690
2020.08.05,2680
2020.08.04,2730
2020.08.03,2100
2020.07.31,2060
2020.07.30,1960
2020.07.29,1925
2020.07.28,1905
2020.07.27,1985
2020.07.24,1555
2020.07.23,1465
2020.07.22,1565
2020.07.21,1420
2020.07.20,1395
2020.07.17,1380
2020.07.16,1375
2020.07.15,1400
2020.07.14,1380
2020.07.13,1385
2020.07.10,1385
2020.07.09,1410
2020.07.08,1415
2020.07.07,1385
2020.07.06,1415
