date,price
2021.04.12,2260
2021.04.09,2295
2021.04.08,1985
2021.04.07,1915
2021.04.06,1850
2021.04.05,1885
2021.04.02,1885
2021.04.01,1900
2021.03.31,1890
2021.03.30,1950
2021.03.29,1920
2021.03.26,2010
2021.03.25,2010
2021.03.24,2085
2021.03.23,2085
2021.03.22,2190
2021.03.19,2220
2021.03.18,2275
2021.03.17,2295
2021.03.16,2200
2021.03.15,2250
2021.03.12,2230
2021.03.11,2145
2021.03.10,2105
2021.03.09,2145
2021.03.08,2160
2021.03.05,2280
2021.03.04,2310
2021.03.03,2385
2021.03.02,2470
2021.02.26,2375
2021.02.25,2550
2021.02.24,2490
2021.02.23,2585
2021.02.22,2615
2021.02.19,2690
2021.02.18,2720
2021.02.17,2800
2021.02.16,2845
2021.02.15,2920
2021.02.10,2915
2021.02.09,2900
2021.02.08,2960
2021.02.05,2945
2021.02.04,2960
2021.02.03,3125
2021.02.02,3040
2021.02.01,2935
2021.01.29,2885
2021.01.28,2980
2021.01.27,3050
2021.01.26,3095
2021.01.25,3250
2021.01.22,3210
2021.01.21,3245
2021.01.20,3320
2021.01.19,3365
2021.01.18,3300
2021.01.15,3430
2021.01.14,3650
2021.01.13,3535
2021.01.12,3515
2021.01.11,3830
2021.01.08,3920
2021.01.07,4050
2021.01.06,4140
2021.01.05,4065
2021.01.04,4205
2020.12.30,4530
2020.12.29,4660
2020.12.28,4410
2020.12.24,4695
2020.12.23,4735
2020.12.22,5120
2020.12.21,5450
2020.12.18,6240
2020.12.17,6670
2020.12.16,6590
2020.12.15,6420
2020.12.14,6500
2020.12.11,5910
2020.12.10,5460
2020.12.09,5890
2020.12.08,6580
2020.12.07,7070
2020.12.04,7600
2020.12.03,7820
2020.12.02,6020
2020.12.01,6110
2020.11.30,5330
2020.11.27,5570
2020.11.26,5240
2020.11.25,5090
2020.11.24,5440
2020.11.23,6260
2020.11.20,6710
2020.11.19,7250
2020.11.18,7190
2020.11.17,7200
2020.11.16,7070
2020.11.13,6770
2020.11.12,5850
2020.11.11,4500
2020.11.10,4900
2020.11.09,3950
2020.11.06,3400
2020.11.05,3270
2020.11.04,3235
2020.11.03,3115
2020.11.02,2730
2020.10.30,2730
2020.10.29,2690
2020.10.28,2415
2020.10.27,2350
2020.10.26,2350
2020.10.23,3355
2020.10.22,4420
2020.10.21,4365
2020.10.20,3840
2020.10.19,4110
2020.10.16,4765
2020.10.15,4970
2020.10.14,5400
2020.10.13,5600
2020.10.12,5940
2020.10.08,6100
2020.10.07,5700
2020.10.06,5300
2020.10.05,4670
2020.09.29,4480
2020.09.28,4315
2020.09.25,4345
2020.09.24,3755
2020.09.23,3600
2020.09.22,3305
2020.09.21,3095
2020.09.18,3055
2020.09.17,3145
2020.09.16,3145
2020.09.15,3230
2020.09.14,2935
2020.09.11,2785
2020.09.10,2795
2020.09.09,2780
2020.09.08,2830
2020.09.07,2900
2020.09.04,2900
2020.09.03,2895
2020.09.02,2895
2020.09.01,2780
2020.08.31,2765
2020.08.28,2800
2020.08.27,2850
2020.08.26,2850
2020.08.25,2750
2020.08.24,2870
2020.08.21,2950
2020.08.20,3030
2020.08.19,3060
2020.08.18,3015
2020.08.14,3085
2020.08.13,3070
2020.08.12,3050
2020.08.11,3100
2020.08.10,3070
2020.08.07,3095
2020.08.06,3050
2020.08.05,3090
2020.08.04,3040
2020.08.03,2995
2020.07.31,3010
2020.07.30,3070
2020.07.29,3075
2020.07.28,3110
2020.07.27,3015
2020.07.24,3035
2020.07.23,3060
2020.07.22,3085
2020.07.21,3095
2020.07.20,3075
2020.07.17,3160
2020.07.16,3140
2020.07.15,3360
2020.07.14,3100
2020.07.13,3170
2020.07.10,3225
2020.07.09,3250
2020.07.08,3340
2020.07.07,3160
2020.07.06,3250
