date,price
2021.04.12,24750
2021.04.09,24950
2021.04.08,24250
2021.04.07,23600
2021.04.06,21000
2021.04.05,20400
2021.04.02,20000
2021.04.01,20200
2021.03.31,19750
2021.03.30,19600
2021.03.29,19700
2021.03.26,20500
2021.03.25,20450
2021.03.24,20450
2021.03.23,19950
2021.03.22,20350
2021.03.19,19450
2021.03.18,18950
2021.03.17,19050
2021.03.16,19000
2021.03.15,18800
2021.03.12,19100
2021.03.11,18550
2021.03.10,18300
2021.03.09,18350
2021.03.08,18800
2021.03.05,19000
2021.03.04,19250
2021.03.03,19250
2021.03.02,18900
2021.02.26,19000
2021.02.25,19250
2021.02.24,19000
2021.02.23,19550
2021.02.22,20250
2021.02.19,21900
2021.02.18,21450
2021.02.17,22500
2021.02.16,20500
2021.02.15,20400
2021.02.10,19300
2021.02.09,19200
2021.02.08,18900
2021.02.05,19050
2021.02.04,19100
2021.02.03,19600
2021.02.02,19900
2021.02.01,19600
2021.01.29,19300
2021.01.28,25200
2021.01.27,25900
2021.01.26,26000
2021.01.25,25050
2021.01.22,25100
2021.01.21,25600
2021.01.20,25100
2021.01.19,24000
2021.01.18,23500
2021.01.15,25500
2021.01.14,26000
2021.01.13,26250
2021.01.12,26650
2021.01.11,28250
2021.01.08,29050
2021.01.07,29150
2021.01.06,29250
2021.01.05,29300
2021.01.04,29500
2020.12.30,29050
2020.12.29,29050
2020.12.28,28600
2020.12.24,29200
2020.12.23,29200
2020.12.22,29250
2020.12.21,30250
2020.12.18,31200
2020.12.17,30500
2020.12.16,29950
2020.12.15,29050
2020.12.14,29450
2020.12.11,29800
2020.12.10,29550
2020.12.09,29100
2020.12.08,29100
2020.12.07,30900
2020.12.04,29400
2020.12.03,29850
2020.12.02,29450
2020.12.01,28950
2020.11.30,29200
2020.11.27,29250
2020.11.26,28750
2020.11.25,28600
2020.11.24,28850
2020.11.23,29000
2020.11.20,29650
2020.11.19,29150
2020.11.18,28850
2020.11.17,28700
2020.11.16,28950
2020.11.13,29100
2020.11.12,28850
2020.11.11,29300
2020.11.10,28850
2020.11.09,29600
2020.11.06,29900
2020.11.05,30200
2020.11.04,32650
2020.11.03,33600
2020.11.02,32050
2020.10.30,32000
2020.10.29,31250
2020.10.28,31200
2020.10.27,30650
2020.10.26,30800
2020.10.23,31550
2020.10.22,31550
2020.10.21,32200
2020.10.20,31200
2020.10.19,31950
2020.10.16,31650
2020.10.15,32500
2020.10.14,33100
2020.10.13,33700
2020.10.12,32200
2020.10.08,32900
2020.10.07,32550
2020.10.06,33050
2020.10.05,32100
2020.09.29,31700
2020.09.28,30900
2020.09.25,30250
2020.09.24,29550
2020.09.23,30850
2020.09.22,30500
2020.09.21,31550
2020.09.18,31850
2020.09.17,31700
2020.09.16,32250
2020.09.15,32100
2020.09.14,32250
2020.09.11,32250
2020.09.10,32800
2020.09.09,31850
2020.09.08,32600
2020.09.07,32700
2020.09.04,32350
2020.09.03,33000
2020.09.02,33350
2020.09.01,34200
2020.08.31,34250
2020.08.28,36050
2020.08.27,32250
2020.08.26,32150
2020.08.25,32750
2020.08.24,30750
2020.08.21,30850
2020.08.20,30000
2020.08.19,30700
2020.08.18,30100
2020.08.14,31400
2020.08.13,32500
2020.08.12,31600
2020.08.11,32300
2020.08.10,32350
2020.08.07,32450
2020.08.06,33300
2020.08.05,33950
2020.08.04,32500
2020.08.03,30550
2020.07.31,30950
2020.07.30,31700
2020.07.29,32050
2020.07.28,32100
2020.07.27,32100
2020.07.24,32500
2020.07.23,32600
2020.07.22,33300
2020.07.21,32400
2020.07.20,32000
2020.07.17,32200
2020.07.16,32150
2020.07.15,31950
2020.07.14,31950
2020.07.13,32050
2020.07.10,32300
2020.07.09,32850
2020.07.08,33400
2020.07.07,32000
2020.07.06,32400
