date,price
2021.04.12,14200
2021.04.09,13750
2021.04.08,14000
2021.04.07,13850
2021.04.06,13400
2021.04.05,13350
2021.04.02,13350
2021.04.01,13400
2021.03.31,13100
2021.03.30,13200
2021.03.29,13150
2021.03.26,13300
2021.03.25,13350
2021.03.24,13350
2021.03.23,13000
2021.03.22,13350
2021.03.19,13550
2021.03.18,13400
2021.03.17,13150
2021.03.16,13600
2021.03.15,13850
2021.03.12,13550
2021.03.11,13450
2021.03.10,12950
2021.03.09,12800
2021.03.08,13050
2021.03.05,13700
2021.03.04,13450
2021.03.03,13900
2021.03.02,14100
2021.02.26,14050
2021.02.25,14550
2021.02.24,14350
2021.02.23,14700
2021.02.22,14650
2021.02.19,15450
2021.02.18,15900
2021.02.17,15900
2021.02.16,15850
2021.02.15,15900
2021.02.10,15900
2021.02.09,14500
2021.02.08,14700
2021.02.05,14950
2021.02.04,14700
2021.02.03,14950
2021.02.02,14800
2021.02.01,14700
2021.01.29,14350
2021.01.28,15500
2021.01.27,15900
2021.01.26,16200
2021.01.25,16000
2021.01.22,16250
2021.01.21,16750
2021.01.20,16150
2021.01.19,15350
2021.01.18,14400
2021.01.15,15050
2021.01.14,15500
2021.01.13,15650
2021.01.12,15450
2021.01.11,14900
2021.01.08,14900
2021.01.07,14900
2021.01.06,14350
2021.01.05,14200
2021.01.04,14600
2020.12.30,14000
2020.12.29,13400
2020.12.28,12850
2020.12.24,12950
2020.12.23,13150
2020.12.22,12950
2020.12.21,13500
2020.12.18,13500
2020.12.17,13200
2020.12.16,13100
2020.12.15,12750
2020.12.14,13150
2020.12.11,13300
2020.12.10,13350
2020.12.09,13600
2020.12.08,13250
2020.12.07,13000
2020.12.04,12900
2020.12.03,13150
2020.12.02,13200
2020.12.01,13300
2020.11.30,13050
2020.11.27,13350
2020.11.26,13200
2020.11.25,13300
2020.11.24,13650
2020.11.23,13450
2020.11.20,13550
2020.11.19,13750
2020.11.18,14100
2020.11.17,13300
2020.11.16,13150
2020.11.13,13650
2020.11.12,13600
2020.11.11,13600
2020.11.10,14050
2020.11.09,14300
2020.11.06,13600
2020.11.05,13250
2020.11.04,12700
2020.11.03,13000
2020.11.02,12550
2020.10.30,12450
2020.10.29,12200
2020.10.28,11700
2020.10.27,10950
2020.10.26,10650
2020.10.23,11500
2020.10.22,11650
2020.10.21,11900
2020.10.20,11750
2020.10.19,11500
2020.10.16,11600
2020.10.15,11850
2020.10.14,12250
2020.10.13,12550
2020.10.12,12800
2020.10.08,13150
2020.10.07,12950
2020.10.06,13150
2020.10.05,13050
2020.09.29,12950
2020.09.28,12300
2020.09.25,11600
2020.09.24,11500
2020.09.23,13300
2020.09.22,15050
2020.09.21,15000
2020.09.18,13900
2020.09.17,14150
2020.09.16,14350
2020.09.15,14650
2020.09.14,14050
2020.09.11,14150
2020.09.10,12350
2020.09.09,12150
2020.09.08,12650
2020.09.07,12950
2020.09.04,12600
2020.09.03,12900
2020.09.02,13000
2020.09.01,13200
2020.08.31,12400
2020.08.28,12400
2020.08.27,12400
2020.08.26,12750
2020.08.25,12700
2020.08.24,12000
2020.08.21,11800
2020.08.20,11800
2020.08.19,12750
2020.08.18,12200
2020.08.14,13100
2020.08.13,13500
2020.08.12,13100
2020.08.11,13550
2020.08.10,13550
2020.08.07,11500
2020.08.06,11200
2020.08.05,10450
2020.08.04,10300
2020.08.03,10400
2020.07.31,10500
2020.07.30,9790
2020.07.29,9840
2020.07.28,9520
2020.07.27,8960
2020.07.24,8990
2020.07.23,9150
2020.07.22,9320
2020.07.21,9500
2020.07.20,9660
2020.07.17,9720
2020.07.16,9430
2020.07.15,9070
2020.07.14,8940
2020.07.13,9350
2020.07.10,8680
2020.07.09,8910
2020.07.08,8870
2020.07.07,8790
2020.07.06,8750
